datetime,buy_order,price_USD,price_native,amount_token,total_native,maker,etherscan_url
2023-03-20 09:03:27,False,4.075e-05,1.211e-08,398800.0,0.0483,0xce...b6cc,https://bscscan.com/tx/0x20cc4929b47639d85f28ed71dd4537c7c4e62266fd1e813eb902a56ec288809b
2023-03-20 09:03:27,False,4.076e-05,1.211e-08,50003.2,0.006,0xce...b6cc,https://bscscan.com/tx/0x20cc4929b47639d85f28ed71dd4537c7c4e62266fd1e813eb902a56ec288809b
2023-03-20 09:03:18,True,4.096e-05,1.217e-08,1292501.0,0.1574,0xb1...a09b,https://bscscan.com/tx/0x67afe4328632f366fec5855cc3a53cd9965b764af35897d84bbac0a039aebede
2023-03-20 09:03:12,False,4.053e-05,1.212e-08,17175513.0,2.08188,0x48...08c6,https://bscscan.com/tx/0x4a4f13eaf566dc318bac2420c12062a3aba07258af716fc907d47e21d4f829e7
2023-03-20 09:03:12,False,4.054e-05,1.212e-08,30351.0,0.0036,0x48...08c6,https://bscscan.com/tx/0x4a4f13eaf566dc318bac2420c12062a3aba07258af716fc907d47e21d4f829e7
2023-03-20 09:03:02,True,4.095e-05,1.218e-08,666666.0,0.0812,0x01...4ce3,https://bscscan.com/tx/0x71133f263244eed1e4a4f48bf7f5f5d55135b8f2e3fa697e4c3095336e1da794
2023-03-20 09:02:56,False,4.075e-05,1.212e-08,9970000.0,1.20889,0x0e...2626,https://bscscan.com/tx/0x36cd6bcd9e6d864bd0124a0ad0ffb786f4f2a5c3e3a8d0d93cac678b6936f267
2023-03-20 09:02:56,False,4.076e-05,1.212e-08,121089.0,0.0146,0x0e...2626,https://bscscan.com/tx/0x36cd6bcd9e6d864bd0124a0ad0ffb786f4f2a5c3e3a8d0d93cac678b6936f267
2023-03-20 09:02:44,True,4.072e-05,1.218e-08,42505489.0,5.17761,0xb0...3e6d,https://bscscan.com/tx/0xe5a9f698342a6fc328d274e7f6799364846765342016bc52587fff96d96ff3a0
2023-03-20 09:02:32,True,4.069e-05,1.217e-08,156387.0,0.019,0xcf...9e5c,https://bscscan.com/tx/0x660ec8519ba2948d34acad0df4b44f0cc7885bbf8a7f8f085675b75c8922ebd0
2023-03-20 09:01:50,False,4.067e-05,1.211e-08,2179528.0,0.264,0x0b...6aaa,https://bscscan.com/tx/0xa139edcee3bbedb093171e60c1f652f0e5b78c238607e386d803400e138d457f
2023-03-20 09:01:50,False,4.067e-05,1.211e-08,23087.2,0.0028,0x0b...6aaa,https://bscscan.com/tx/0xa139edcee3bbedb093171e60c1f652f0e5b78c238607e386d803400e138d457f
2023-03-20 09:00:23,True,4.066e-05,1.217e-08,1357170.0,0.1652,0xb1...a09b,https://bscscan.com/tx/0x8c0579cb78b1543dc031044e51717a57ff4a7a339f86365627070e43f69b3ab9
2023-03-20 09:00:14,False,4.066e-05,1.211e-08,2359545.0,0.2858,0x24...a2ac,https://bscscan.com/tx/0x6c7e13218e31e6ab368b877b28af525005437b174f371f8347eb4fee698cb7e0
2023-03-20 09:00:14,False,4.066e-05,1.211e-08,29811.0,0.0036,0x24...a2ac,https://bscscan.com/tx/0x6c7e13218e31e6ab368b877b28af525005437b174f371f8347eb4fee698cb7e0
2023-03-20 08:59:56,True,4.066e-05,1.217e-08,806870.0,0.0982,0xd9...efce,https://bscscan.com/tx/0x4866fd04bdb787b4b4dcaa7e97dde38f5c4742053f26fd94ff731defeda3343d
2023-03-20 08:59:47,False,4.046e-05,1.211e-08,7851319.0,0.9512,0xa1...05f3,https://bscscan.com/tx/0x0096836824ce55e549f85e66f52cae0d6fb4b4e00eb6c2798f9d3a0d34cc8dda
2023-03-20 08:59:47,False,4.047e-05,1.211e-08,43821.3,0.0053,0xa1...05f3,https://bscscan.com/tx/0x0096836824ce55e549f85e66f52cae0d6fb4b4e00eb6c2798f9d3a0d34cc8dda
2023-03-20 08:59:02,True,4.098e-05,1.217e-08,7355132.0,0.8955,0x70...5754,https://bscscan.com/tx/0x0509f61b8792115053b707454e70b930ed501ab39d284280b7451c036ff12398
2023-03-20 08:58:56,False,4.047e-05,1.211e-08,8848370.0,1.07205,0x73...7014,https://bscscan.com/tx/0xe8c8cd263d49ba3349196149c26970c360c52bd9e0b5fab3b1313fae1c23fbaf
2023-03-20 08:58:56,False,4.047e-05,1.211e-08,61951.5,0.0075,0x73...7014,https://bscscan.com/tx/0xe8c8cd263d49ba3349196149c26970c360c52bd9e0b5fab3b1313fae1c23fbaf
2023-03-20 08:58:17,True,4.087e-05,1.217e-08,20944996.0,2.55,0x55...ce90,https://bscscan.com/tx/0x6af6f88ecd89585292efe7b51249a6eda9a8d9b492f290bb178947143595697e
2023-03-20 08:57:17,False,4.065e-05,1.211e-08,1994000.0,0.2414,0x53...435b,https://bscscan.com/tx/0xf36cbb2df654b3e5676c0061dced8aa4f78c8911501fd3e8e0d5f0679a3b7743
2023-03-20 08:57:17,False,4.065e-05,1.211e-08,19919.6,0.0024,0x53...435b,https://bscscan.com/tx/0xf36cbb2df654b3e5676c0061dced8aa4f78c8911501fd3e8e0d5f0679a3b7743
2023-03-20 08:56:59,False,4.045e-05,1.211e-08,373451.0,0.0452,0x36...7e71,https://bscscan.com/tx/0xa9e8909c78bb916588e0a4b8864c42d8b98a7e737909d91792242cdeac4ecdb7
2023-03-20 08:56:59,False,4.045e-05,1.211e-08,716645.0,0.0868,0x36...7e71,https://bscscan.com/tx/0xa9e8909c78bb916588e0a4b8864c42d8b98a7e737909d91792242cdeac4ecdb7
2023-03-20 08:56:05,True,4.065e-05,1.217e-08,886045.0,0.1078,0x01...4ce3,https://bscscan.com/tx/0x04f6845692e28dde9bcb5f9a9340fca32622683bd0555e5f4a5caa0358f2fc51
2023-03-20 08:55:53,True,4.065e-05,1.217e-08,12540128.0,1.52616,0x26...e45e,https://bscscan.com/tx/0xe7e706a6fbfe24203fff386be8b4d1591dab97fe4f7105337cde03cd97cbb286
2023-03-20 08:55:47,True,4.082e-05,1.216e-08,35012309.0,4.25846,0x3e...8467,https://bscscan.com/tx/0x1a227298da85df3546a71a091cba85b19de7a23d756d033309fe7a88866c3d06
